node_id,title,old_path,new_path
18291,Understanding the handling of request and response data,api-services/content/understanding-handling-request-response-data.html,api-platform/fundamentals/understanding-handling-request-response-data.html
18296,Working with Pantheon,developer-services/content/working-pantheon.html,api-platform/publish/drupal/working-pantheon.html
18321,Managing organization users,api-services/content/managing-organization-users.html,api-platform/system-administration/managing-organization-users.html
18326,Creating custom roles in the UI,api-services/content/creating-custom-roles.html,api-platform/system-administration/creating-custom-roles.html
18331,Edge built-in roles,api-services/content/edge-built-roles.html,api-platform/system-administration/edge-built-roles.html
18336,Edge built-in roles,api-services/content/edge-built-roles.html,api-platform/system-administration/edge-built-roles.html
18341,Edge built-in roles,api-services/content/edge-built-roles.html,api-platform/system-administration/edge-built-roles.html
18346,Edge built-in roles,api-services/content/edge-built-roles.html,api-platform/system-administration/edge-built-roles.html
18351,Edge built-in roles,api-services/content/edge-built-roles.html,api-platform/system-administration/edge-built-roles.html
18361,Assigning roles,api-services/content/understanding-roles.html,api-platform/system-administration/understanding-roles.html
18366,Creating roles with the API,api-services/content/managing-roles-api.html,api-platform/system-administration/managing-roles-api.html
18471,Policies: parent element attributes (included by nid reference in all policy ref topics),api-services/content/policies-parent-element-attributes.html,___shared-files/policies-parent-element-attributes.html
18481,JavaScript object model,api-services/content/httpclient-javascript-object.html,api-platform/reference/javascript-object-model.html
18496,Delete OAuthV2 Info policy,api-services/content/delete-oauth-v2-info.html,api-platform/reference/policies/delete-oauth-v2-info.html
18501,New API proxy editor highlights,api-services/content/new-api-proxy-ui-highlights.html,api-platform/get-started/new-api-proxy-ui-highlights.html
18541,Delete OAuth V1 Info policy,api-services/content/delete-oauth-v1-info.html,api-platform/reference/policies/delete-oauth-v1-info.html
18576,Delete OAuth V2 Info,api-services/content/delete-oauth-v2-info-0.html,api-platform/reference/policies/delete-oauth-v2-info-0.html
18586,Persistence tools in Edge,api-services/content/persistence-tools.html,api-platform/cache/persistence-tools.html
18596,Adding caching and persistence,api-services/content/caching-edge.html,api-platform/cache/caching-edge.html
18631,Apigee Test overview,analytics-services/apigeetest/apigee-test-overview.html,apigee-labs/apigee-test-overview.html
18656,Probes,apigeetest/probes.html,apigee-labs/probes.html
18661,Test Cases,apigeetest/test-cases.html,apigee-labs/test-cases.html
18666,View Apigee Test metrics,analytics-services/apigeetest/viewing-metrics.html,apigee-labs/viewing-metrics.html
18671,What Apigee Test alerts look like,analytics-services/apigeetest/what-apigee-test-alerts-look.html,apigee-labs/what-apigee-test-alerts-look.html
18676,Using Apigee Test with Edge API proxies,analytics-services/apigeetest/using-apigee-test-edge-api-proxies.html,apigee-labs/using-apigee-test-edge-api-proxies.html
19041,Hashing tokens for extra security,api-services/content/hashing-tokens.html,api-platform/security/oauth/hashing-tokens.html
19246,System administrator role,api-services/content/system-administrator-role.html,api-platform/system-administration/system-administrator-role.html
19251,Read-only system administrator role,api-services/content/read-only-system-administrator-role.html,api-platform/system-administration/read-only-system-administrator-role.html
19256,About global users,api-services/content/about-global-users.html,api-platform/system-administration/about-global-users.html
19261,Adding global users,api-services/content/adding-global-users.html,api-platform/system-administration/adding-global-users.html
19296,Creating and editing environment key value maps,api-services/content/creating-and-editing-environment-keyvalue-maps.html,api-platform/cache/creating-and-editing-environment-keyvalue-maps.html
